PROMOTION_ID,PRODUCT_ID,PROMOTION_NAME,DISCOUNT_PERCENT,START_DATE,END_DATE,RECORD_SOURCE
PROM0065,PROD0036,Holiday Offer,15,2025-08-01 05:14:23,2025-08-31 05:14:23,CRM
PROM0066,PROD0012,Winter Discount,10,2025-12-09 04:50:53,2026-01-08 04:50:53,CRM
PROM0067,PROD0008,Holiday Offer,5,2025-12-20 13:28:29,2026-01-19 13:28:29,CRM
PROM0068,PROD0012,Holiday Offer,10,2026-05-03 02:26:01,2026-06-02 02:26:01,CRM
PROM0069,PROD0003,Black Friday,10,2025-09-15 20:54:37,2025-10-15 20:54:37,CRM
PROM0070,PROD0008,Holiday Offer,5,2026-01-04 18:04:05,2026-02-03 18:04:05,CRM
PROM0071,PROD0040,Summer Sale,20,2025-06-29 21:01:56,2025-07-29 21:01:56,CRM
PROM0072,PROD0003,Winter Discount,10,2025-06-09 12:53:54,2025-07-09 12:53:54,CRM
PROM0073,PROD0039,Summer Sale,20,2026-05-30 16:50:06,2026-06-29 16:50:06,CRM
PROM0074,PROD0001,Winter Discount,20,2026-05-06 23:30:36,2026-06-05 23:30:36,CRM
PROM0075,PROD0003,Winter Discount,20,2025-06-23 01:57:48,2025-07-23 01:57:48,CRM
PROM0076,PROD0047,Black Friday,10,2025-11-21 04:18:29,2025-12-21 04:18:29,CRM
PROM0077,PROD0014,Winter Discount,15,2025-07-08 07:58:05,2025-08-07 07:58:05,CRM
PROM0078,PROD0032,Holiday Offer,20,2025-07-06 14:48:18,2025-08-05 14:48:18,CRM
PROM0079,PROD0002,Winter Discount,20,2025-09-10 06:59:05,2025-10-10 06:59:05,CRM
PROM0080,PROD0003,Summer Sale,5,2026-01-18 03:59:41,2026-02-17 03:59:41,CRM
PROM0081,PROD0010,Holiday Offer,15,2026-02-02 13:19:36,2026-03-04 13:19:36,CRM
PROM0082,PROD0003,Summer Sale,10,2026-05-11 22:07:35,2026-06-10 22:07:35,CRM
PROM0083,PROD0033,Summer Sale,5,2025-06-10 12:01:54,2025-07-10 12:01:54,CRM
PROM0084,PROD0011,Black Friday,15,2025-08-02 04:04:41,2025-09-01 04:04:41,CRM
PROM0085,PROD0050,Holiday Offer,5,2026-03-14 09:18:43,2026-04-13 09:18:43,CRM
PROM0086,PROD0035,Summer Sale,10,2025-10-25 07:42:48,2025-11-24 07:42:48,CRM
PROM0087,PROD0027,Black Friday,10,2025-11-12 08:05:48,2025-12-12 08:05:48,CRM
PROM0088,PROD0034,Holiday Offer,20,2026-02-10 14:06:06,2026-03-12 14:06:06,CRM
PROM0089,PROD0017,Summer Sale,10,2025-10-27 04:54:06,2025-11-26 04:54:06,CRM
PROM0090,PROD0018,Black Friday,15,2026-01-30 18:53:07,2026-03-01 18:53:07,CRM
PROM0091,PROD0039,Holiday Offer,10,2025-08-24 18:34:45,2025-09-23 18:34:45,CRM
PROM0092,PROD0026,Summer Sale,15,2025-11-22 22:15:31,2025-12-22 22:15:31,CRM
PROM0093,PROD0036,Summer Sale,15,2025-08-15 01:46:20,2025-09-14 01:46:20,CRM
PROM0094,PROD0027,Summer Sale,5,2026-03-07 00:54:14,2026-04-06 00:54:14,CRM
PROM0095,PROD0042,Black Friday,5,2025-07-21 01:44:04,2025-08-20 01:44:04,CRM
PROM0096,PROD0006,Winter Discount,20,2025-11-04 23:00:03,2025-12-04 23:00:03,CRM
PROM0097,PROD0005,Holiday Offer,15,2025-09-05 06:30:57,2025-10-05 06:30:57,CRM
PROM0098,PROD0018,Black Friday,10,2026-05-23 18:01:25,2026-06-22 18:01:25,CRM
PROM0099,PROD0008,Holiday Offer,10,2025-11-12 05:59:30,2025-12-12 05:59:30,CRM
PROM0100,PROD0045,Winter Discount,5,2025-09-29 11:37:06,2025-10-29 11:37:06,CRM
PROM0101,PROD0034,Black Friday,20,2025-10-30 11:51:06,2025-11-29 11:51:06,CRM
PROM0102,PROD0022,Winter Discount,10,2025-08-20 22:32:38,2025-09-19 22:32:38,CRM
PROM0103,PROD0013,Winter Discount,10,2026-05-17 20:09:39,2026-06-16 20:09:39,CRM
PROM0104,PROD0049,Winter Discount,5,2025-08-25 02:25:23,2025-09-24 02:25:23,CRM
PROM0105,PROD0035,Winter Discount,15,2026-02-28 23:07:53,2026-03-30 23:07:53,CRM
PROM0106,PROD0030,Winter Discount,5,2026-04-23 01:24:02,2026-05-23 01:24:02,CRM
PROM0107,PROD0048,Black Friday,15,2025-12-01 02:07:01,2025-12-31 02:07:01,CRM
PROM0108,PROD0010,Holiday Offer,15,2025-08-16 11:59:29,2025-09-15 11:59:29,CRM
PROM0109,PROD0010,Black Friday,20,2026-03-04 11:41:08,2026-04-03 11:41:08,CRM
PROM0110,PROD0041,Black Friday,20,2025-12-04 04:21:39,2026-01-03 04:21:39,CRM
PROM0111,PROD0032,Black Friday,20,2025-10-17 13:17:09,2025-11-16 13:17:09,CRM
PROM0112,PROD0031,Summer Sale,20,2025-06-06 11:48:09,2025-07-06 11:48:09,CRM
PROM0113,PROD0002,Summer Sale,5,2026-01-18 07:32:24,2026-02-17 07:32:24,CRM
PROM0114,PROD0039,Summer Sale,15,2025-07-19 15:39:24,2025-08-18 15:39:24,CRM
PROM0115,PROD0003,Holiday Offer,15,2025-09-19 20:20:13,2025-10-19 20:20:13,CRM
PROM0116,PROD0027,Summer Sale,20,2025-07-04 13:10:55,2025-08-03 13:10:55,CRM
PROM0117,PROD0020,Holiday Offer,20,2026-02-18 21:12:00,2026-03-20 21:12:00,CRM
PROM0118,PROD0019,Winter Discount,10,2025-12-10 13:20:06,2026-01-09 13:20:06,CRM
PROM0119,PROD0005,Black Friday,10,2025-10-04 09:37:33,2025-11-03 09:37:33,CRM
PROM0120,PROD0023,Summer Sale,5,2026-05-05 07:21:58,2026-06-04 07:21:58,CRM
PROM0121,PROD0017,Holiday Offer,10,2025-10-23 00:23:04,2025-11-22 00:23:04,CRM
PROM0122,PROD0014,Winter Discount,10,2025-12-20 04:00:56,2026-01-19 04:00:56,CRM
PROM0123,PROD0038,Black Friday,15,2025-08-20 01:09:38,2025-09-19 01:09:38,CRM
PROM0124,PROD0037,Holiday Offer,15,2025-11-08 13:31:24,2025-12-08 13:31:24,CRM
PROM0125,PROD0008,Holiday Offer,20,2025-08-02 15:56:14,2025-09-01 15:56:14,CRM
PROM0126,PROD0020,Winter Discount,10,2025-08-20 04:19:58,2025-09-19 04:19:58,CRM
PROM0127,PROD0014,Winter Discount,20,2025-06-23 21:33:57,2025-07-23 21:33:57,CRM
PROM0128,PROD0011,Summer Sale,15,2026-02-21 09:34:56,2026-03-23 09:34:56,CRM
PROM0129,PROD0023,Summer Sale,10,2026-01-19 11:44:41,2026-02-18 11:44:41,CRM
PROM0130,PROD0009,Black Friday,5,2025-11-04 12:27:23,2025-12-04 12:27:23,CRM
PROM0131,PROD0003,Summer Sale,5,2026-02-23 12:20:09,2026-03-25 12:20:09,CRM
PROM0132,PROD0015,Summer Sale,15,2025-09-04 15:37:18,2025-10-04 15:37:18,CRM
PROM0133,PROD0044,Summer Sale,20,2026-04-13 09:58:29,2026-05-13 09:58:29,CRM
PROM0134,PROD0029,Black Friday,10,2025-06-06 01:30:42,2025-07-06 01:30:42,CRM
PROM0135,PROD0014,Black Friday,15,2026-01-18 17:03:00,2026-02-17 17:03:00,CRM
PROM0136,PROD0002,Black Friday,15,2025-08-17 19:42:47,2025-09-16 19:42:47,CRM
PROM0137,PROD0022,Holiday Offer,10,2025-10-01 00:37:31,2025-10-31 00:37:31,CRM
PROM0138,PROD0018,Black Friday,15,2026-03-13 16:00:11,2026-04-12 16:00:11,CRM
PROM0139,PROD0025,Black Friday,15,2026-04-20 02:01:46,2026-05-20 02:01:46,CRM
PROM0140,PROD0029,Black Friday,20,2025-09-10 16:19:21,2025-10-10 16:19:21,CRM
PROM0141,PROD0003,Black Friday,5,2025-11-17 21:14:08,2025-12-17 21:14:08,CRM
PROM0142,PROD0004,Summer Sale,20,2025-06-22 15:18:22,2025-07-22 15:18:22,CRM
PROM0143,PROD0048,Winter Discount,15,2025-12-10 17:21:38,2026-01-09 17:21:38,CRM
PROM0144,PROD0031,Holiday Offer,10,2025-08-29 17:23:20,2025-09-28 17:23:20,CRM
PROM0145,PROD0010,Holiday Offer,5,2026-02-25 17:12:52,2026-03-27 17:12:52,CRM
PROM0146,PROD0047,Winter Discount,20,2025-09-20 11:41:22,2025-10-20 11:41:22,CRM
PROM0147,PROD0021,Holiday Offer,5,2025-08-02 19:02:01,2025-09-01 19:02:01,CRM
PROM0148,PROD0050,Holiday Offer,5,2025-07-18 04:22:05,2025-08-17 04:22:05,CRM
PROM0149,PROD0031,Holiday Offer,5,2026-01-21 08:53:52,2026-02-20 08:53:52,CRM
PROM0150,PROD0017,Black Friday,5,2025-09-22 10:48:35,2025-10-22 10:48:35,CRM
