ORDER_ID,CUSTOMER_ID,ORDER_DATE,ORDER_STATUS,TOTAL_AMOUNT,RECORD_SOURCE
ORD000025,CUST00039,2025-09-26 09:33:01,DELIVERED,720.0,WEBSITE
ORD000026,CUST00019,2026-06-01 13:46:02,DELIVERED,4019.0,WEBSITE
ORD000027,CUST00083,2025-06-06 08:31:49,DELIVERED,1458.0,WEBSITE
ORD000028,CUST00033,2025-09-11 00:05:23,SHIPPED,1419.0,WEBSITE
ORD000029,CUST00044,2025-12-31 15:37:28,SHIPPED,1220.0,WEBSITE
ORD000030,CUST00076,2026-02-02 12:00:39,DELIVERED,1478.0,WEBSITE
ORD000031,CUST00032,2025-10-27 08:52:58,PLACED,3828.0,WEBSITE
ORD000032,CUST00013,2025-11-02 12:04:31,DELIVERED,4027.0,WEBSITE
ORD000033,CUST00086,2025-07-30 05:47:47,DELIVERED,3857.0,WEBSITE
ORD000034,CUST00096,2026-05-17 06:39:03,SHIPPED,360.0,WEBSITE
ORD000035,CUST00013,2026-03-31 07:32:56,DELIVERED,4438.0,WEBSITE
ORD000036,CUST00055,2025-06-28 03:39:11,DELIVERED,420.0,WEBSITE
ORD000037,CUST00025,2025-07-25 23:53:29,DELIVERED,2897.0,WEBSITE
ORD000038,CUST00032,2025-09-14 07:21:05,DELIVERED,60.0,WEBSITE
ORD000039,CUST00055,2025-12-18 20:20:12,DELIVERED,3738.0,WEBSITE
ORD000040,CUST00088,2026-04-04 13:54:19,SHIPPED,518.0,WEBSITE
ORD000041,CUST00005,2025-07-02 18:21:45,DELIVERED,2526.0,WEBSITE
ORD000042,CUST00075,2025-08-01 23:30:29,DELIVERED,2737.0,WEBSITE
ORD000043,CUST00024,2025-07-17 15:14:15,DELIVERED,3645.0,WEBSITE
ORD000044,CUST00053,2026-01-30 21:44:12,DELIVERED,2368.0,WEBSITE
ORD000045,CUST00007,2026-04-11 20:27:41,DELIVERED,4977.0,WEBSITE
ORD000046,CUST00004,2025-06-10 01:26:05,DELIVERED,2887.0,WEBSITE
ORD000047,CUST00085,2026-05-16 00:34:21,DELIVERED,1410.0,WEBSITE
ORD000048,CUST00056,2026-01-25 14:50:04,DELIVERED,540.0,WEBSITE
ORD000049,CUST00066,2025-09-19 15:04:48,DELIVERED,1549.0,WEBSITE
ORD000050,CUST00041,2026-03-06 08:41:02,DELIVERED,2550.0,WEBSITE
ORD000051,CUST00019,2026-02-07 16:35:09,PLACED,2637.0,WEBSITE
ORD000052,CUST00095,2026-05-20 12:21:27,PLACED,4295.0,WEBSITE
ORD000053,CUST00036,2025-11-03 06:42:05,DELIVERED,597.0,WEBSITE
ORD000054,CUST00027,2025-10-24 02:27:43,DELIVERED,90.0,WEBSITE
ORD000055,CUST00017,2025-10-10 17:31:16,DELIVERED,2997.0,WEBSITE
ORD000056,CUST00091,2025-06-08 11:55:43,DELIVERED,6794.0,WEBSITE
ORD000057,CUST00072,2026-04-29 17:16:14,DELIVERED,1598.0,WEBSITE
ORD000058,CUST00021,2025-08-18 02:44:04,SHIPPED,3657.0,WEBSITE
ORD000059,CUST00025,2025-10-28 23:40:44,SHIPPED,6254.0,WEBSITE
ORD000060,CUST00003,2026-04-08 17:13:19,DELIVERED,3954.0,WEBSITE
ORD000061,CUST00085,2026-01-01 02:14:42,SHIPPED,1407.0,WEBSITE
ORD000062,CUST00034,2026-03-27 20:20:52,DELIVERED,780.0,WEBSITE
ORD000063,CUST00005,2025-11-03 15:21:47,DELIVERED,979.0,WEBSITE
ORD000064,CUST00035,2026-04-20 01:10:14,DELIVERED,999.0,WEBSITE
ORD000065,CUST00035,2026-05-03 16:05:45,DELIVERED,1399.0,WEBSITE
ORD000066,CUST00028,2026-05-01 02:29:58,DELIVERED,1220.0,WEBSITE
ORD000067,CUST00018,2026-05-05 07:53:03,DELIVERED,5114.0,WEBSITE
ORD000068,CUST00038,2025-10-06 18:07:21,DELIVERED,5454.0,WEBSITE
ORD000069,CUST00049,2026-03-20 23:22:25,DELIVERED,250.0,WEBSITE
ORD000070,CUST00010,2025-07-27 07:11:27,DELIVERED,1490.0,WEBSITE
ORD000071,CUST00065,2026-03-28 15:52:27,DELIVERED,300.0,WEBSITE
ORD000072,CUST00083,2025-11-16 17:18:59,PLACED,5345.0,WEBSITE
ORD000073,CUST00026,2025-07-30 06:28:14,SHIPPED,2797.0,WEBSITE
ORD000074,CUST00027,2025-07-01 06:58:51,DELIVERED,1339.0,WEBSITE
ORD000075,CUST00015,2026-04-08 14:32:10,PLACED,2058.0,WEBSITE
ORD000076,CUST00013,2025-06-13 15:57:18,DELIVERED,3537.0,WEBSITE
ORD000077,CUST00089,2025-12-11 20:53:05,DELIVERED,1789.0,WEBSITE
ORD000078,CUST00019,2026-01-05 07:32:16,PLACED,959.0,WEBSITE
ORD000079,CUST00069,2025-06-16 14:21:46,DELIVERED,2997.0,WEBSITE
ORD000080,CUST00034,2025-11-26 16:07:21,DELIVERED,2997.0,WEBSITE
ORD000081,CUST00050,2026-01-04 08:23:58,DELIVERED,540.0,WEBSITE
ORD000082,CUST00086,2026-01-04 19:41:59,DELIVERED,1879.0,WEBSITE
ORD000083,CUST00073,2025-09-05 13:31:52,DELIVERED,500.0,WEBSITE
ORD000084,CUST00098,2025-07-30 10:11:18,DELIVERED,180.0,WEBSITE
ORD000085,CUST00087,2026-03-17 22:51:46,CANCELLED,2118.0,WEBSITE
ORD000086,CUST00003,2025-08-09 20:02:07,SHIPPED,4234.0,WEBSITE
ORD000087,CUST00068,2026-06-03 06:33:06,CANCELLED,4306.0,WEBSITE
ORD000088,CUST00099,2025-12-04 04:25:04,DELIVERED,1898.0,WEBSITE
ORD000089,CUST00062,2025-10-23 05:15:44,SHIPPED,2198.0,WEBSITE
ORD000090,CUST00027,2025-06-10 16:28:46,DELIVERED,5994.0,WEBSITE
ORD000091,CUST00012,2026-05-06 23:19:07,DELIVERED,4573.0,WEBSITE
ORD000092,CUST00089,2026-01-25 13:24:24,DELIVERED,1999.0,WEBSITE
ORD000093,CUST00066,2025-10-10 11:32:19,DELIVERED,60.0,WEBSITE
ORD000094,CUST00030,2025-12-27 19:07:49,DELIVERED,3537.0,WEBSITE
ORD000095,CUST00009,2026-05-09 14:02:34,PLACED,3457.0,WEBSITE
ORD000096,CUST00037,2026-03-05 00:07:29,CANCELLED,2378.0,WEBSITE
ORD000097,CUST00069,2026-03-21 22:43:17,DELIVERED,6573.0,WEBSITE
ORD000098,CUST00098,2026-05-11 00:48:48,DELIVERED,2997.0,WEBSITE
ORD000099,CUST00089,2025-06-20 15:51:31,DELIVERED,8171.0,WEBSITE
ORD000100,CUST00001,2025-11-25 12:58:33,DELIVERED,1798.0,WEBSITE
ORD000101,CUST00048,2025-06-24 10:04:59,DELIVERED,550.0,WEBSITE
ORD000102,CUST00027,2025-10-07 07:12:45,SHIPPED,2397.0,WEBSITE
ORD000103,CUST00049,2025-08-01 20:10:15,SHIPPED,360.0,WEBSITE
ORD000104,CUST00044,2026-05-05 01:11:03,DELIVERED,3047.0,WEBSITE
ORD000105,CUST00029,2025-06-08 06:00:14,DELIVERED,1558.0,WEBSITE
ORD000106,CUST00032,2026-01-19 12:59:32,SHIPPED,810.0,WEBSITE
ORD000107,CUST00007,2025-07-10 23:01:42,PLACED,120.0,WEBSITE
ORD000108,CUST00004,2025-10-14 22:59:30,DELIVERED,5034.0,WEBSITE
ORD000109,CUST00017,2026-03-06 04:26:04,PLACED,630.0,WEBSITE
ORD000110,CUST00074,2025-09-02 17:27:25,SHIPPED,9201.0,WEBSITE
ORD000111,CUST00044,2026-01-30 18:44:47,PLACED,2457.0,WEBSITE
ORD000112,CUST00056,2025-08-12 19:48:55,DELIVERED,1420.0,WEBSITE
ORD000113,CUST00015,2025-08-16 14:21:32,DELIVERED,880.0,WEBSITE
ORD000114,CUST00063,2025-12-01 01:43:47,DELIVERED,180.0,WEBSITE
ORD000115,CUST00079,2026-04-08 11:29:22,PLACED,4985.0,WEBSITE
ORD000116,CUST00036,2025-10-31 03:56:26,PLACED,60.0,WEBSITE
ORD000117,CUST00067,2025-10-27 07:50:17,SHIPPED,899.0,WEBSITE
ORD000118,CUST00060,2025-09-02 11:34:28,SHIPPED,250.0,WEBSITE
ORD000119,CUST00008,2026-01-17 05:24:06,DELIVERED,2598.0,WEBSITE
ORD000120,CUST00022,2025-09-13 08:42:12,PLACED,750.0,WEBSITE
ORD000121,CUST00059,2025-07-24 11:52:50,PLACED,3829.0,WEBSITE
ORD000122,CUST00099,2025-06-22 02:23:29,DELIVERED,1000.0,WEBSITE
ORD000123,CUST00088,2025-12-04 17:28:38,DELIVERED,1209.0,WEBSITE
ORD000124,CUST00068,2025-09-28 23:10:26,DELIVERED,960.0,WEBSITE
ORD000125,CUST00021,2025-11-11 10:25:32,DELIVERED,999.0,WEBSITE
ORD000126,CUST00025,2026-04-25 20:57:24,PLACED,1618.0,WEBSITE
ORD000127,CUST00094,2026-03-24 12:00:11,DELIVERED,4552.0,WEBSITE
ORD000128,CUST00071,2025-07-11 10:21:11,DELIVERED,5335.0,WEBSITE
ORD000129,CUST00027,2025-08-08 03:04:01,DELIVERED,1998.0,WEBSITE
ORD000130,CUST00022,2025-07-16 22:50:18,DELIVERED,2397.0,WEBSITE
ORD000131,CUST00004,2026-06-02 19:29:49,PLACED,300.0,WEBSITE
ORD000132,CUST00003,2025-09-26 17:33:45,PLACED,2547.0,WEBSITE
ORD000133,CUST00061,2026-04-13 07:14:18,PLACED,5435.0,WEBSITE
ORD000134,CUST00046,2025-09-13 19:28:56,DELIVERED,1179.0,WEBSITE
ORD000135,CUST00027,2026-02-04 09:08:09,PLACED,7492.0,WEBSITE
ORD000136,CUST00072,2025-07-26 16:05:10,DELIVERED,2907.0,WEBSITE
ORD000137,CUST00014,2026-06-01 06:47:54,DELIVERED,6054.0,WEBSITE
ORD000138,CUST00096,2025-07-29 17:22:05,SHIPPED,2658.0,WEBSITE
ORD000139,CUST00019,2026-01-10 06:52:17,SHIPPED,4543.0,WEBSITE
ORD000140,CUST00073,2026-01-15 23:28:59,DELIVERED,1898.0,WEBSITE
ORD000141,CUST00050,2026-04-21 12:21:58,DELIVERED,1778.0,WEBSITE
ORD000142,CUST00093,2025-09-19 14:24:11,DELIVERED,500.0,WEBSITE
ORD000143,CUST00009,2026-01-10 17:18:22,PLACED,3617.0,WEBSITE
ORD000144,CUST00018,2025-09-19 07:07:01,DELIVERED,2070.0,WEBSITE
ORD000145,CUST00083,2025-11-23 13:08:28,SHIPPED,1798.0,WEBSITE
ORD000146,CUST00029,2026-02-10 18:35:36,PLACED,1089.0,WEBSITE
ORD000147,CUST00021,2025-06-07 19:05:46,DELIVERED,2588.0,WEBSITE
ORD000148,CUST00012,2026-04-16 06:03:52,SHIPPED,1079.0,WEBSITE
ORD000149,CUST00032,2026-03-31 11:20:42,PLACED,979.0,WEBSITE
ORD000150,CUST00066,2025-07-03 11:13:41,SHIPPED,319.0,WEBSITE
ORD000151,CUST00045,2025-09-23 09:55:39,SHIPPED,1059.0,WEBSITE
ORD000152,CUST00065,2025-07-26 11:51:20,PLACED,2556.0,WEBSITE
ORD000153,CUST00002,2025-07-03 13:31:55,DELIVERED,2478.0,WEBSITE
ORD000154,CUST00073,2026-01-15 19:03:39,DELIVERED,120.0,WEBSITE
ORD000155,CUST00031,2026-03-17 07:44:07,SHIPPED,957.0,WEBSITE
ORD000156,CUST00082,2026-05-03 05:16:13,DELIVERED,1798.0,WEBSITE
ORD000157,CUST00059,2025-11-30 16:45:01,DELIVERED,867.0,WEBSITE
ORD000158,CUST00058,2025-09-03 06:24:09,DELIVERED,2100.0,WEBSITE
ORD000159,CUST00088,2026-05-13 12:48:08,PLACED,4977.0,WEBSITE
ORD000160,CUST00094,2025-10-24 04:57:34,SHIPPED,5695.0,WEBSITE
ORD000161,CUST00046,2025-07-15 14:59:45,CANCELLED,4247.0,WEBSITE
ORD000162,CUST00015,2026-01-09 15:12:36,PLACED,60.0,WEBSITE
ORD000163,CUST00093,2026-03-14 18:43:55,DELIVERED,750.0,WEBSITE
ORD000164,CUST00086,2025-07-13 22:20:52,DELIVERED,540.0,WEBSITE
ORD000165,CUST00030,2025-06-25 04:02:33,SHIPPED,3077.0,WEBSITE
ORD000166,CUST00014,2025-11-15 12:00:17,SHIPPED,370.0,WEBSITE
ORD000167,CUST00045,2025-10-22 16:28:27,DELIVERED,4693.0,WEBSITE
ORD000168,CUST00026,2025-06-12 10:33:25,PLACED,360.0,WEBSITE
ORD000169,CUST00073,2026-06-01 16:45:43,CANCELLED,5514.0,WEBSITE
ORD000170,CUST00017,2025-11-25 09:12:41,DELIVERED,1839.0,WEBSITE
ORD000171,CUST00037,2026-01-13 20:30:13,DELIVERED,750.0,WEBSITE
ORD000172,CUST00090,2026-04-23 06:33:11,SHIPPED,750.0,WEBSITE
ORD000173,CUST00005,2025-06-27 00:12:40,SHIPPED,4296.0,WEBSITE
ORD000174,CUST00034,2025-06-07 07:50:38,DELIVERED,1929.0,WEBSITE
ORD000175,CUST00072,2025-07-05 12:03:37,DELIVERED,450.0,WEBSITE
ORD000176,CUST00066,2025-11-08 04:59:46,DELIVERED,1958.0,WEBSITE
ORD000177,CUST00024,2026-05-01 11:33:00,PLACED,6024.0,WEBSITE
ORD000178,CUST00051,2025-11-20 21:07:38,DELIVERED,4797.0,WEBSITE
ORD000179,CUST00040,2025-06-24 13:39:02,DELIVERED,60.0,WEBSITE
ORD000180,CUST00023,2026-02-23 13:46:36,PLACED,330.0,WEBSITE
ORD000181,CUST00089,2026-05-15 23:17:35,DELIVERED,1040.0,WEBSITE
ORD000182,CUST00036,2026-02-20 14:26:26,SHIPPED,4995.0,WEBSITE
ORD000183,CUST00036,2026-01-05 22:10:06,DELIVERED,1628.0,WEBSITE
ORD000184,CUST00014,2025-07-13 05:20:15,DELIVERED,3057.0,WEBSITE
ORD000185,CUST00011,2025-08-24 21:57:35,DELIVERED,60.0,WEBSITE
ORD000186,CUST00060,2025-06-11 15:22:11,PLACED,6114.0,WEBSITE
ORD000187,CUST00037,2025-07-06 16:36:01,PLACED,4395.0,WEBSITE
ORD000188,CUST00072,2026-03-24 00:32:35,DELIVERED,3895.0,WEBSITE
ORD000189,CUST00023,2026-03-19 22:35:46,SHIPPED,3387.0,WEBSITE
ORD000190,CUST00026,2025-10-07 20:07:15,DELIVERED,1658.0,WEBSITE
ORD000191,CUST00062,2026-01-23 06:34:06,DELIVERED,1119.0,WEBSITE
ORD000192,CUST00003,2025-07-19 14:32:30,DELIVERED,2608.0,WEBSITE
ORD000193,CUST00011,2025-09-10 02:01:19,SHIPPED,120.0,WEBSITE
ORD000194,CUST00075,2026-02-02 17:39:35,DELIVERED,3395.0,WEBSITE
ORD000195,CUST00010,2026-01-05 18:20:38,DELIVERED,4902.0,WEBSITE
ORD000196,CUST00060,2025-11-11 05:31:43,DELIVERED,120.0,WEBSITE
ORD000197,CUST00031,2026-02-05 15:05:51,DELIVERED,999.0,WEBSITE
ORD000198,CUST00084,2025-06-14 04:14:39,DELIVERED,3987.0,WEBSITE
ORD000199,CUST00064,2026-03-12 13:04:14,SHIPPED,4096.0,WEBSITE
ORD000200,CUST00008,2026-04-21 15:11:31,DELIVERED,1396.0,WEBSITE
ORD000201,CUST00098,2025-09-20 00:30:20,CANCELLED,370.0,WEBSITE
ORD000202,CUST00068,2025-07-06 12:23:11,DELIVERED,4742.0,WEBSITE
ORD000203,CUST00037,2026-02-05 04:30:56,DELIVERED,4987.0,WEBSITE
ORD000204,CUST00088,2025-06-04 09:36:04,DELIVERED,4776.0,WEBSITE
ORD000205,CUST00086,2025-07-06 23:23:06,PLACED,1050.0,WEBSITE
ORD000206,CUST00061,2026-01-02 16:16:30,DELIVERED,680.0,WEBSITE
ORD000207,CUST00055,2026-03-28 19:39:01,PLACED,5175.0,WEBSITE
ORD000208,CUST00024,2025-06-29 14:27:43,DELIVERED,919.0,WEBSITE
ORD000209,CUST00060,2025-06-05 10:31:33,DELIVERED,90.0,WEBSITE
ORD000210,CUST00023,2026-05-01 23:51:13,DELIVERED,420.0,WEBSITE
ORD000211,CUST00067,2026-03-16 22:10:03,SHIPPED,5065.0,WEBSITE
ORD000212,CUST00066,2025-06-10 02:40:13,DELIVERED,3976.0,WEBSITE
ORD000213,CUST00011,2026-05-08 14:51:36,DELIVERED,3177.0,WEBSITE
ORD000214,CUST00048,2025-08-11 09:37:10,PLACED,500.0,WEBSITE
ORD000215,CUST00096,2025-06-10 18:25:50,PLACED,3230.0,WEBSITE
ORD000216,CUST00071,2025-07-08 09:36:39,DELIVERED,3987.0,WEBSITE
ORD000217,CUST00075,2026-03-07 16:07:10,DELIVERED,8091.0,WEBSITE
ORD000218,CUST00078,2025-07-02 22:05:28,PLACED,4085.0,WEBSITE
ORD000219,CUST00064,2025-06-13 06:17:34,DELIVERED,540.0,WEBSITE
ORD000220,CUST00062,2025-08-06 00:44:57,DELIVERED,120.0,WEBSITE
ORD000221,CUST00091,2025-11-15 22:51:55,DELIVERED,9220.0,WEBSITE
ORD000222,CUST00010,2026-03-08 21:54:17,DELIVERED,1080.0,WEBSITE
ORD000223,CUST00031,2026-01-05 23:32:44,SHIPPED,750.0,WEBSITE
ORD000224,CUST00021,2025-11-11 06:39:20,PLACED,60.0,WEBSITE
ORD000225,CUST00063,2025-10-15 21:54:25,CANCELLED,2877.0,WEBSITE
ORD000226,CUST00049,2025-06-10 20:56:40,PLACED,4095.0,WEBSITE
ORD000227,CUST00017,2025-12-12 12:28:03,SHIPPED,3097.0,WEBSITE
ORD000228,CUST00058,2025-09-24 19:16:19,SHIPPED,3906.0,WEBSITE
ORD000229,CUST00035,2025-09-16 15:47:45,DELIVERED,4457.0,WEBSITE
ORD000230,CUST00080,2026-03-21 05:12:47,DELIVERED,2008.0,WEBSITE
ORD000231,CUST00007,2026-04-15 01:50:01,DELIVERED,2499.0,WEBSITE
ORD000232,CUST00051,2026-05-30 22:13:05,DELIVERED,5293.0,WEBSITE
ORD000233,CUST00076,2026-02-24 09:54:52,DELIVERED,720.0,WEBSITE
ORD000234,CUST00050,2025-12-06 01:09:37,DELIVERED,990.0,WEBSITE
ORD000235,CUST00056,2026-01-21 19:04:31,SHIPPED,2218.0,WEBSITE
ORD000236,CUST00065,2025-11-22 02:16:18,DELIVERED,799.0,WEBSITE
ORD000237,CUST00002,2026-03-15 18:30:15,SHIPPED,5235.0,WEBSITE
ORD000238,CUST00015,2025-08-28 04:49:18,DELIVERED,4495.0,WEBSITE
ORD000239,CUST00097,2025-09-06 20:22:36,DELIVERED,2458.0,WEBSITE
ORD000240,CUST00097,2025-08-23 13:43:17,DELIVERED,5665.0,WEBSITE
ORD000241,CUST00046,2025-11-29 04:10:18,DELIVERED,90.0,WEBSITE
ORD000242,CUST00040,2026-05-05 14:49:28,SHIPPED,4665.0,WEBSITE
ORD000243,CUST00008,2025-08-31 03:25:32,PLACED,540.0,WEBSITE
ORD000244,CUST00032,2026-03-13 10:22:17,DELIVERED,4685.0,WEBSITE
ORD000245,CUST00048,2026-04-10 12:47:36,DELIVERED,120.0,WEBSITE
ORD000246,CUST00069,2026-04-07 04:59:26,SHIPPED,3268.0,WEBSITE
ORD000247,CUST00027,2025-07-07 03:20:05,SHIPPED,1789.0,WEBSITE
ORD000248,CUST00095,2025-09-22 07:07:07,DELIVERED,3787.0,WEBSITE
ORD000249,CUST00022,2026-04-09 19:29:55,DELIVERED,3497.0,WEBSITE
ORD000250,CUST00078,2025-11-12 21:24:16,PLACED,2555.0,WEBSITE
ORD000251,CUST00042,2026-01-11 22:37:11,PLACED,4026.0,WEBSITE
ORD000252,CUST00048,2026-02-19 13:28:36,DELIVERED,2398.0,WEBSITE
ORD000253,CUST00012,2025-11-29 12:15:08,SHIPPED,1369.0,WEBSITE
ORD000254,CUST00026,2025-08-02 03:04:38,SHIPPED,5454.0,WEBSITE
ORD000255,CUST00060,2026-04-13 03:39:11,DELIVERED,6411.0,WEBSITE
ORD000256,CUST00027,2025-08-22 11:34:17,SHIPPED,1387.0,WEBSITE
ORD000257,CUST00099,2025-06-04 00:56:40,SHIPPED,2347.0,WEBSITE
ORD000258,CUST00096,2025-09-08 01:31:25,SHIPPED,2019.0,WEBSITE
ORD000259,CUST00006,2025-06-21 05:52:47,CANCELLED,4116.0,WEBSITE
ORD000260,CUST00082,2026-02-24 13:53:57,PLACED,770.0,WEBSITE
ORD000261,CUST00028,2026-05-14 07:16:01,DELIVERED,1779.0,WEBSITE
ORD000262,CUST00004,2025-09-19 19:11:01,DELIVERED,4016.0,WEBSITE
ORD000263,CUST00052,2026-05-06 21:13:08,PLACED,6114.0,WEBSITE
ORD000264,CUST00071,2025-12-24 07:12:21,DELIVERED,1389.0,WEBSITE
ORD000265,CUST00005,2026-05-10 04:22:23,SHIPPED,60.0,WEBSITE
ORD000266,CUST00097,2025-10-10 07:22:44,SHIPPED,1900.0,WEBSITE
ORD000267,CUST00073,2025-06-30 07:14:31,DELIVERED,597.0,WEBSITE
ORD000268,CUST00003,2025-10-12 03:30:01,DELIVERED,6773.0,WEBSITE
ORD000269,CUST00050,2025-09-15 08:06:09,DELIVERED,2877.0,WEBSITE
ORD000270,CUST00052,2026-01-10 04:30:01,SHIPPED,1060.0,WEBSITE
ORD000271,CUST00087,2026-05-28 16:13:32,DELIVERED,3136.0,WEBSITE
ORD000272,CUST00019,2025-09-01 01:29:20,CANCELLED,3277.0,WEBSITE
ORD000273,CUST00093,2026-04-18 21:06:55,DELIVERED,2356.0,WEBSITE
ORD000274,CUST00007,2025-06-04 07:28:20,SHIPPED,999.0,WEBSITE
ORD000275,CUST00088,2025-06-10 02:33:36,DELIVERED,3147.0,WEBSITE
ORD000276,CUST00060,2026-02-10 20:56:37,DELIVERED,240.0,WEBSITE
ORD000277,CUST00031,2026-02-22 22:11:26,SHIPPED,2100.0,WEBSITE
ORD000278,CUST00008,2025-11-25 08:12:55,SHIPPED,439.0,WEBSITE
ORD000279,CUST00051,2025-08-05 05:03:31,PLACED,2556.0,WEBSITE
ORD000280,CUST00077,2026-04-14 15:04:16,DELIVERED,1989.0,WEBSITE
ORD000281,CUST00051,2026-01-31 00:47:07,SHIPPED,847.0,WEBSITE
ORD000282,CUST00032,2025-09-18 21:24:31,DELIVERED,199.0,WEBSITE
ORD000283,CUST00028,2026-04-11 06:17:37,SHIPPED,5696.0,WEBSITE
ORD000284,CUST00012,2025-10-06 23:10:02,DELIVERED,3853.0,WEBSITE
ORD000285,CUST00071,2026-01-07 16:41:54,DELIVERED,7082.0,WEBSITE
ORD000286,CUST00064,2025-07-31 06:10:11,DELIVERED,8931.0,WEBSITE
ORD000287,CUST00024,2025-09-28 18:25:36,DELIVERED,4215.0,WEBSITE
ORD000288,CUST00089,2025-12-01 23:32:37,SHIPPED,2249.0,WEBSITE
ORD000289,CUST00027,2026-02-04 23:46:55,DELIVERED,4126.0,WEBSITE
ORD000290,CUST00003,2026-04-23 11:03:05,DELIVERED,1749.0,WEBSITE
ORD000291,CUST00069,2026-01-24 23:14:28,SHIPPED,4195.0,WEBSITE
ORD000292,CUST00086,2026-03-06 10:59:53,DELIVERED,4245.0,WEBSITE
ORD000293,CUST00012,2025-06-24 20:50:57,SHIPPED,4296.0,WEBSITE
ORD000294,CUST00097,2025-11-28 21:30:07,PLACED,627.0,WEBSITE
ORD000295,CUST00100,2025-08-31 14:56:30,DELIVERED,150.0,WEBSITE
ORD000296,CUST00061,2026-02-17 20:16:24,SHIPPED,3235.0,WEBSITE
ORD000297,CUST00050,2025-12-16 17:00:52,DELIVERED,1736.0,WEBSITE
ORD000298,CUST00084,2025-12-03 15:02:06,DELIVERED,3237.0,WEBSITE
ORD000299,CUST00082,2025-06-18 09:22:30,DELIVERED,3098.0,WEBSITE
ORD000300,CUST00093,2026-05-09 18:41:40,DELIVERED,4396.0,WEBSITE
ORD000301,CUST00023,2026-02-26 20:12:41,DELIVERED,5634.0,WEBSITE
ORD000302,CUST00066,2026-02-13 05:11:59,DELIVERED,2397.0,WEBSITE
ORD000303,CUST00067,2026-01-31 09:04:43,DELIVERED,930.0,WEBSITE
ORD000304,CUST00079,2026-04-28 12:53:47,DELIVERED,1439.0,WEBSITE
ORD000305,CUST00087,2025-11-21 15:33:56,SHIPPED,4626.0,WEBSITE
ORD000306,CUST00084,2026-02-01 13:40:47,DELIVERED,2997.0,WEBSITE
ORD000307,CUST00024,2025-07-30 12:18:52,DELIVERED,1299.0,WEBSITE
ORD000308,CUST00076,2025-08-15 20:00:50,DELIVERED,1318.0,WEBSITE
ORD000309,CUST00003,2025-06-25 02:12:42,DELIVERED,880.0,WEBSITE
ORD000310,CUST00052,2025-09-26 17:09:14,DELIVERED,2857.0,WEBSITE
ORD000311,CUST00012,2026-05-12 18:04:05,PLACED,1998.0,WEBSITE
ORD000312,CUST00008,2026-03-18 16:01:35,DELIVERED,1179.0,WEBSITE
ORD000313,CUST00018,2026-04-11 13:44:21,DELIVERED,2378.0,WEBSITE
ORD000314,CUST00082,2026-04-29 04:39:06,DELIVERED,4514.0,WEBSITE
ORD000315,CUST00057,2025-12-29 12:44:26,SHIPPED,60.0,WEBSITE
ORD000316,CUST00069,2026-03-07 23:07:29,SHIPPED,4458.0,WEBSITE
ORD000317,CUST00024,2026-05-10 22:32:23,DELIVERED,7173.0,WEBSITE
ORD000318,CUST00024,2025-07-01 21:19:36,DELIVERED,4134.0,WEBSITE
ORD000319,CUST00075,2025-07-17 19:24:00,DELIVERED,3868.0,WEBSITE
